region,county,salesperson,calls,sales
North,Dallam,JE,35,23
North,Dallam,ZQ,49,13
North,Dallam,IJ,20,6
North,Hartley,WE,39,37
North,Hartley,PL,42,37
North,Hartley,BI,24,8
North,Moore,TW,33,6
North,Moore,TZ,33,20
North,Moore,ZM,21,13
North,Gray,ES,49,31
North,Gray,XY,31,28
North,Gray,YJ,35,13
North,Floyd,WH,44,37
North,Floyd,OH,31,6
North,Floyd,UA,44,34
North,Motley,EH,44,34
North,Motley,MW,22,21
North,Motley,NY,35,15
West,Pecos,WV,30,25
West,Pecos,QM,48,45
West,Pecos,WZ,37,23
West,Brewster,IK,33,20
West,Brewster,BS,33,14
West,Brewster,JF,20,8
West,Presidio,DQ,40,15
West,Presidio,OT,35,9
West,Presidio,SV,45,30
South,Webb,KR,20,6
South,Webb,QJ,46,40
South,Webb,RR,48,26
South,Duval,FJ,20,7
South,Duval,GW,20,6
South,Duval,DS,42,9
South,Hidalgo,LQ,41,16
South,Hidalgo,LR,39,7
South,Hidalgo,LV,21,11
South,Zavala,YA,25,21
South,Zavala,FL,31,24
South,Zavala,IV,28,20
East,Shelby,NZ,45,16
East,Shelby,VN,29,6
East,Shelby,XH,47,6
East,Rusk,HW,20,8
East,Rusk,UM,24,8
East,Rusk,OY,40,20
East,Tyler,JC,21,17
East,Tyler,GT,30,4
East,Tyler,UF,49,35
East,Houston,QK,22,8
East,Houston,AX,42,9
East,Houston,YN,38,23
